District Name,District Number,Staff Type,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Pacific Islander,Multiple Races/Ethnicities,White,Unknown Race/Ethnicity
State of Tennessee,0,Administrators,0.1%,0.2%,20.6%,1.0%,0.1%,0.5%,72.8%,4.8%
State of Tennessee,0,All Educators,0.1%,0.4%,11.3%,1.8%,0.0%,0.7%,77.0%,8.8%
State of Tennessee,0,Teachers,0.1%,0.5%,10.2%,1.9%,0.0%,0.7%,77.5%,9.1%
Anderson County,10,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,87.5%,12.5%
Anderson County,10,All Educators,0.2%,0.2%,0.4%,0.6%,0.0%,0.4%,86.9%,11.4%
Anderson County,10,Teachers,0.2%,0.2%,0.2%,0.7%,0.0%,0.5%,86.5%,11.5%
Clinton,11,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Clinton,11,All Educators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,76.8%,23.2%
Clinton,11,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,72.9%,27.1%
Oak Ridge,12,Administrators,0.0%,0.0%,5.3%,0.0%,0.0%,0.0%,94.7%,0.0%
Oak Ridge,12,All Educators,0.2%,0.5%,4.9%,2.7%,0.0%,0.7%,89.2%,1.7%
Oak Ridge,12,Teachers,0.3%,0.6%,5.0%,2.8%,0.0%,0.9%,88.3%,1.9%
Bedford County,20,Administrators,0.0%,0.0%,9.1%,3.0%,0.0%,0.0%,87.9%,0.0%
Bedford County,20,All Educators,0.2%,0.0%,2.7%,2.1%,0.0%,0.5%,85.3%,9.2%
Bedford County,20,Teachers,0.2%,0.0%,2.3%,2.3%,0.0%,0.6%,85.8%,8.8%
Benton County,30,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Benton County,30,All Educators,0.0%,0.0%,0.6%,0.0%,0.0%,0.0%,93.3%,6.1%
Benton County,30,Teachers,0.0%,0.0%,0.7%,0.0%,0.0%,0.0%,93.1%,6.2%
Bledsoe County,40,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
